Woord (Word),IPA,Part of Speech,Signifas (Meaning),1594,<-- numer o woordan jom woordkitabu mir
legon,,noun,"1. choice, option",,
lej,,noun,1. the past,,
,,particle,1. used to mark the past tense when used before a verb,,
lejfa,,verb,1. to jump,,
lep,,preposition,"1. above, in front of",,
leu,,particle,1. used to mark passive voice,,
li,,verb,1. to be (inanimate),,
libi,,adjective,1. less than,,
libof,,noun,1. male calf,,
lien,,noun,"1. child, kid",,
lienic,,adjective,"1. childlike, frolicking",,
lilargo,,noun,1. platinum,,
lildu,,noun,1. one half,,
lilestra,,noun,1. fire,,
,,verb,1. to be on fire,,
lili,,adjective,"1. small, little",,
lilistan,,noun,"1. first-level administrative division (as a state, province, or oblast)",,
liltri,,noun,1. one third,,
liregis,,noun,1. person in second (behind king or queen),,
liregisfem,,noun,1. princess,,
liregisman,,noun,1. prince,,
livac,,noun,"1. heifer, female calf",,
livermorilo,,noun,1. livermorium,,
lof,,verb,1. to sprint,,
lok,,noun,1. everything,,
,,determiner,1. every,,
lokan,,noun,"1. morning, AM",,
lorenstilo,,noun,1. lawrencium,,
lua,,noun,1. the Moon,,
,,,2. moon (celestial body),,
,,,3. circle,,
lufle,,noun,1. swan,,
lukara,,noun,1. month,,
luilo,,noun,1. selenium,,
lunca,,noun,1. night,,
lutet,,noun,1. lutetium,,
maak,,verb,"1. to make, produce",,
,,noun,1. tool,,
maakantera,,noun,1. constructed language,,
maakic,,adjective,1. creative,,
maakjenilo,,noun,1. technetium,,
mai,,adverb,1. because,,
,,preposition,1. because of,,
mainichi,,adjective,"1. regular, daily",,
,,adverb,"1. regularly, daily",,
,,verb,"1. to make, produce",,
makens,,verb,1. to decide,,
mal,,adjective,1. bad,,
,,verb,1. to multiply by,,
malcas,,noun,1. decay,,
maljaanilo,,noun,1. aluminum,,
mama,,noun,1. mother,,
man,,noun,1. man,,
manama,,adjective,1. gay,,
,,noun,1. someone who is gay,,
mande,,verb,"1. should, ought to",,
manga,,noun,1. food,,
manjen,,noun,1. man,,
mar,,noun,1. ocean,,
marblu,,noun,1. ocean blue,,
marsajlilo,,noun,1. halogen,,
marsiko,,noun,1. the Biblical firmament,,
marsikulu,,noun,"1. boat, ship",,
Martera,,noun,1. Neptune,,
martilo,,noun,1. neptunium,,
masuli,,noun,1. desert,,
mat,,verb,1. to have,,
me,,noun,1. two hundred sixteen,,
med,,preposition,1. used to mark the dative or instrumental case,,
,,verb,1. to cause to be,,
mega,,noun,1. one million,,
megadu,,noun,1. one trillion,,
megapa,,noun,1. mouth,,
megatri,,noun,1. one quintillion,,
megsiko,,noun,1. thermosphere,,
melac,,noun,1. ten million seventy-seven thousand six hundred ninety-six,,
men,,conjunction,1. but,,
mendeltilo,,noun,1. mendelevium,,
meno,,noun,1. name,,
meso,,noun,"1. center, middle",,
meter,,noun,1. meter,,
metilo,,noun,1. metal,,
metod,,noun,1. method,,
,,,2. writing system,,
metolilo,,noun,1. metalloid,,
metro,,noun,"1. metropolitan rapid transit, usually underground",,
,,,"2. a train on a metropolitan rapid transit, usually underground",,
mi,,pronoun,"1. I, me",,
mid,,noun,1. middle,,
,,verb,1. to not know or be sure of,,
midsiko,,noun,1. mesosphere,,
miju,,noun,1. kitten,,
Mikael,,proper noun,1. Michael,,
mil,,noun,1. one thousand,,
mila,,pronoun,"1. we, as of two people",,
mile,,noun,1. million,,
milesikulu,,noun,1. train,,
min,,pronoun,1. we (exclusive),,
,,pronoun,"1. inclusive we, as of more than two people",,
minatu,,noun,1. minute (temporal),,
mine,,verb,1. to mine,,
Minekraaft,,noun,1. Minecraft,,
mintu,,pronoun,1. me and you,,
mir,,determiner,1. my,,
mitnerilo,,noun,1. meitnerium,,
mogbon,,noun,1. tooth,,
mogwerm,,noun,1. tongue,,
mok,,noun,1. seven thousand seventy-six,,
moku,,noun,1. food,,
,,verb,1. to eat,,
mol,,noun,1. mole,,
mo,,particle,1. used before a verb to formally mark the imperative mood,,
mono,,noun,1. noun,,
monoji,,noun,1. a singular noun,,
,,adjective,1. singular,,
monomusi,,noun,1. plural noun,,
,,adjective,1. plural,,
monopiso,,noun,1. a plural noun,,
,,adjective,1. plural,,
monotii,,noun,1. a dual noun,,
,,adjective,1. dual,,
mosento,,noun,"1. exclamation, interjection",,
moskovilo,,noun,1. moscovium,,
mosla,,noun,1. demonstration,,
mota,,noun,1. death,,
,,verb,1. to die,,
,,adjective,1. dead,,
muiv,,verb,1. to move,,
muivaten,,noun,"1. barrier, blocker",,
muivilo,,noun,1. transition metal,,
muivizo,,noun,1. continue,,
muivolilo,,noun,1. post-transition metal,,
muivscurip,,noun,1. cursive script,,
muradilo,,noun,1. radium,,
musi,,adjective,"1. many, very",,
,,verb,"1. to amuse, have fun",,
musko,,noun,1. plasma,,
musvja,,noun,1. mouse,,
muzdif,,adjective,1. completely different (the total opposite of soic),,
muzukashi,,adjective,"1. hard, difficult",,
,,,2. sick,,
,,,3. sad,,
,,noun,1. feeling,,
muzuktilo,,noun,1. dysprosium,,
-n,,affix,"1. used to create noun plurals (preceded by the most recent vowel if the word ends in a consonant other than s, sj, c, x)",,
-na,,affix,1. used to convert nouns to adjectives,,
naga,,noun,1. length,,
naja,,adverb,1. here,,
najlilo,,noun,1. arsenic,,
nak,,noun,1. four,,
nakdece,,noun,1. forty,,
nam,,noun,1. name,,
,,verb,"1. to name, call, refer to as",,
nata,,noun,1. night,,
natle,,noun,1. birth,,
natrilo,,noun,1. nitrogen,,
natro,,noun,1. sodium bicarbonate,,
ne,,particle,1. no (but big),,
Nedera,,noun,1. the Dutch language,,
Nedere,,adjective,1. Dutch,,
Nederjen,,noun,1. a Dutch person,,
Nederland,,noun,1. the Netherlands,,
nej,,adjective,"1. fast, quick",,
nejon,,noun,"1. fastness, speed",,
ni,,particle,1. no,,
,,noun,1. zero,,
nibel,,noun,1. zero,,
nifol,,adjective,1. empty,,
nigrep,,verb,1. to not understand or grasp,,
Nihon,,noun,1. Japan,,
Nihongo,,adjective,1. Japanese,,
Nihongora,,noun,1. the Japanese language,,
nihonilo,,noun,1. nihonium,,
Nihonjen,,noun,1. a Japanese person,,
niitipe,,verb,1. to count,,
Nikera,,noun,1. any Nigerian language,,
Nikere,,adjective,1. Nigerian,,
Nikerjen,,noun,1. a Nigerian person,,
Nikerstan,,noun,1. Nigeria,,
nikilo,,noun,1. nickel,,
nijiba,,noun,1. secondary seximal system in Hantera,,
nili,,verb,1. to not be,,
nilo,,interjection,1. goodbye,,
nina,,noun,"1. early morning, VN",,
nir,,adjective,1. near,,
Nitera,,noun,1. Pluto,,
nitilo,,noun,1. plutonium,,
,,,2. nonexistent,,
njek,,noun,1. nine,,
njekdece,,noun,1. ninety,,
njo,,preposition,"1. not in, not on",,
nnn,,Interjection,1. used to signify disapproval,,
no,,particle,1. no (but small),,
nobeltilo,,noun,1. nobelium,,
nof,,noun,1. nine,,
noften,,noun,1. ninety,,
noftilo,,noun,1. neodymium,,
nomo,,noun,1. number,,
nomic,,adjective,1. expressing the vocative case,,
nona,,noun,"1. late night, IN",,
nose,,noun,1. nose,,
nosilo,,noun,1. strontium,,
nova,,adjective,1. new,,
novilo,,noun,1. neon,,
nu,,adverb,1. now,,
,,particle,1. used to mark the present tense (either used before a verb and in the same sentence as another tense or for emphasis),,
numer,,noun,1. number,,
,,verb,1. to count (as of numbers),,
nur,,noun,1. light,,
,,adjective,1. bright,,
nurilo,,noun,1. phosphorus,,
nurki,,noun,1. luminous intensity,,
nuron,,noun,1. brightness,,
nurondoskap,,noun,1. spectroscopy,,
nuter,,adjective,"1. neutral, as of expressions",,
,,noun,1. someone who is LGBT,,
o,,interjection,1. oh,,
,,preposition,1. of,,
oba,,noun,"1. bag, suitcase",,
obajem,,noun,1. construction worker,,
ogar,,noun,1. house,,
ok,,noun,1. eight,,
oki,,interjection,1. OK,,
okten,,noun,1. eighty,,
oic,,adjective,1. expressing the genitive case,,
oli,,verb,1. to be similar to,,
-oli,,affix,1. similar,,
olintilo,,noun,1. promethium,,
omin,,pronoun,"1. exclusive we, as of more than two people",,
-on,,affix,1. used to create nouns from other parts of speech,,
onan,,pronoun,1. we (inclusive),,
ondo,,noun,1. wave,,
oner,,determiner,1. our,,
ongaku,,noun,1. music,,
,,,2. song,,
ons,,pronoun,1. all of us,,
on't'mien,,noun,1. us all,,
or,,noun,1. hour,,
-ord,,affix,1. used to create an ordinal number out of a normal number,,
orden,,adjective,1. ordinal,,
,,noun,1. ordinal number,,
osi,,adjective,1. hard,,
osklaro,,noun,1. gray,,
osko,,noun,1. black,,
osmilo,,noun,1. osmium,,
ossa,,adverb,1. too,,
,,,2. very,,
otaku,,adjective,1. smart,,
otoni,,noun,1. screen,,
,,verb,1. to display,,
-p,,affix,1. used at the end of numbers to describe a three-dimensional shape made of two-dimensional shapes containing that many vertices,,
pa,,noun,1. inanimate thing,,
padnajra,,noun,1. southwest,,
Pake,,adjective,1. Pakistani,,
Pakera,,noun,1. the Urdu language,,
Pakjen,,noun,1. a Pakistani person,,
Pakland,,noun,1. Pakistan,,
palia,,verb,1. to go back or return,,
pano,,noun,1. bread,,
papa,,noun,1. father,,
papernova,,noun,1. newspaper,,
pascim,,noun,1. west,,
paz,,verb,1. to open,,
pe,,noun,1. three,,
ped,,noun,1. six,,
pedece,,noun,1. sixty,,
pedsikulu,,noun,1. rollerskates,,
penis,,noun,1. penis,,
pensi,,verb,1. to think,,
pensikanwa,,verb,1. to guess,,
penzii,,verb,1. to dream,,
,,noun,1. dream,,
pepyra,,noun,1. tetrahedron,,
per,,preposition,1. for,,
,,verb,"1. to be directed at, be intended for",,
perfekes,,noun,1. prefix,,
pero,,conjunction,1. but,,
,,noun,1. dog,,
persa,,conjunction,1. because,,
peso,,adjective,1. third,,
pier,,noun,1. third,,
,,,1. expressing the dative case,,
piesi,,noun,1. pressure,,
,,verb,1. to exert pressure,,
piesikukna,,noun,1. blast furnace,,
pilin,,noun,1. feeling,,
pion,,noun,1. eight,,
pisilo,,noun,1. argon,,
pisk,,noun,1. fish,,
piso,,noun,1. triangle,,
,,,2. three,,
piso-dime,,adjective,1. three-dimensional,,
pisoer,,adjective,1. third,,
plac,,noun,1. place,,
plat,,noun,1. plate,,
plowa,,noun,1. boustrophedon,,
plu,,conjunction,1. and,,
,,preposition,1. plus,,
plumbilo,,noun,1. lead,,
PM,,adverb,"1. PM, from 10 PM (12 PM) to 5 PM (5 PM)",,
polise,,noun,1. police,,
polonilo,,noun,1. polonium,,
pomo,,noun,1. a fruit,,
pona,,adjective,1. good,,
pormanteu,,noun,1. portmanteau,,
pos,,verb,1. to have,,
pozi,,noun,"1. place, position",,
pozjau,,verb,"1. to place, put",,
profond,,adjective,1. deep,,
Profondon,,noun,1. Tehom,,
provoli,,verb,1. to show,,
pui,,noun,1. gun,,
punkto,,noun,1. paragraph,,
pur,,noun,1. cat,,
pursu,,adjective,"1. smooth, polished, refined",,
pute,,interjection,1. used as an expletive similar to fuck,,
,,adjective,1. used as an expletive similar to fucking,,
pyra,,noun,1. pyramid,,
-ra,,noun,1. language,,
radilo,,noun,1. radon,,
radis,,noun,1. carrot,,
,,,2. radish,,
,,,3. vegetable,,
ranad,,noun,1. red,,
ranapomo,,noun,1. apple,,
ranaradis,,noun,1. tomato,,
re,,verb,1. to be (inanimate),,
rebeginnen,,verb,"1. to reset, restart",,
regis,,noun,1. ruler,,
regisfem,,noun,1. queen,,
regisman,,noun,1. king,,
relos,,noun,1. prince,,
resjerfilo,,noun,1. rutherfordium,,
reson,,noun,1. reason,,
ribito,,noun,1. frog,,
rinilo,,noun,1. rhenium,,
riro,,verb,1. to laugh,,
riwa,,noun,1. image,,
riweja,,noun,"1. film, movie",,
,,,2. video,,
ro,,verb,1. to be (animate),,
rojelo,,noun,1. orange,,
rojilo,,noun,1. rubidium,,
rojo,,noun,1. red,,
rojofler,,noun,1. rose,,
rojoflerilo,,noun,1. rhodium,,
rojopomo,,noun,1. apple,,
rojoradis,,noun,1. tomato,,
Romana,,noun,1. ancient Rome,,
Romane,,noun,1. relating to ancient Rome,,
Romanera,,noun,1. Latin,,
Romanjen,,noun,1. a Roman person,,
rontgenilo,,noun,1. roentgenium,,
roto,,noun,1. body,,
rotomota,,noun,1. corpse,,
rutenilo,,noun,1. ruthenium,,
rux,,noun,"1. soul, spirit",,
sa,,determiner,1. that,,
sadece,,noun,1. thirty,,
sadet,,noun,1. tomorrow,,
,,adverb,1. tomorrow,,
saja,,adverb,1. there,,
,,,2. away,,
sajle,,noun,1. row,,
salas,,noun,1. blue,,
samarktilo,,noun,1. samarium,,
samvanilo,,noun,1. molybdenum,,
sanda,,noun,1. (slang) old woman,,
sap,,noun,"1. drink, juice",,
,,verb,1. to drink,,
sat,,noun,1. three,,
scurip,,noun,"1. script, as for writing something in a specific manner",,
scusi,,verb,1. to excuse,,
,,interjection,1. excuse me,,
secir,,verb,1. to celebrate,,
,,noun,1. celebration,,
sek,,noun,1. six,,
sekten,,noun,1. sixty,,
sel,,noun,1. sky,,
selaro,,noun,1. blue sky,,
selbilo,,noun,1. cesium,,
selblu,,noun,1. sky blue,,
selko,,noun,1. space (actual space),,
selkojen,,noun,1. astronaut,,
selkoplac,,noun,"1. space habitat, as a space station",,
selmeg,,noun,1. cloud,,
selmekier,,noun,1. sheep,,
selo,,noun,1. bluish purple,,
selsui,,noun,1. rain,,
Seltera,,noun,1. Uranus,,
seltilo,,noun,1. uranium,,
sem,,pronoun,1. used in place of a subject in a sentence to create an open question,,
senem,,adjective,1. old,,
seng,,noun,1. announcement,,
sento,,noun,1. sentence,,
sep,,noun,1. seven,,
sepe,,noun,1. seven,,
sepedetece,,noun,1. seventy,,
septen,,noun,1. seventy,,
ser,,verb,1. to break,,
,,,"2. to divide, cut",,
,,,3. to separate,,
ser-du,,noun,1. one half,,
ser-tri,,noun,1. one third,,
serja,,noun,1. TV show,,
,,,2. a TV show season,,
shek,,verb,1. to send,,
sho,,preposition,1. ahead,,
shu,,noun,1. large tree,,
siborgilo,,noun,1. seaborgium,,
signifas,,noun,"1. meaning, definition",,
,,verb,1. to mean or define,,
siko,,noun,1. ball,,
sikulu,,noun,1. wheel,,
,,,2. tire (vehicular),,
,,,3. vehicle,,
,,,"4. system, mechanism, manner, way",,
sikulup,,noun,1. cylinder,,
sikulusindic,,adjective,1. online,,
sinke,,noun,1. zinc,,
sinonimo,,noun,1. synonym,,
sindeon,,noun,1. connection,,
sindet,,verb,1. to connect,,
sixe,,noun,1. sigh,,
,,verb,1. to sigh,,
sjas,,verb,1. to block,,
,,,"2. divide, separate, set apart",,
skantilo,,noun,1. thulium,,
skap,,noun,1. science,,
skaper,,noun,1. scientist,,
skata,,adjective,1. hot,,
skatfizd,,noun,1. temperature,,
skolac,,verb,1. to rise or stand up,,
,,interjection,"1. rise, stand up",,
sloov,,noun,1. sleep,,
sloovsiko,,noun,1. stratosphere,,
supasiko,,noun,1. troposphere,,
so,,conjunction,1. so,,
sofi,,verb,1. to know,,
sofle,,noun,1. phoenix,,
soic,,adjective,"1. same, equal",,
sol,,noun,1. the Sun,,
solca,,noun,1. day,,
soldacau,,noun,1. salute,,
,,verb,"1. to salute, honor",,
soldat,,noun,1. soldier,,
solilo,,noun,1. helium,,
solis,,noun,1. the Sun,,
solsikulu,,noun,1. the Solar System,,
soltera,,noun,1. a planet in the solar system,,
son,,noun,1. music,,
,,,2. a song,,
,,,3. sound,,
sonos,,noun,1. ear,,
spalte,,noun,1. column,,
speele,,verb,1. play (as of a game or sport),,
speelsikulu,,noun,1. video game console,,
spiso,,noun,1. clam,,
stab,,noun,1. the alphabet,,
staku,,noun,1. sixty four,,
,,,2. stack,,
stan,,noun,"1. country, nation",,
stanilo,,noun,1. tin,,
sten,,noun,1. stone,,
stenilo,,noun,1. lithium,,
stibilo,,noun,1. antimony,,
stoktilo,,noun,1. holmium,,
strajke,,verb,1. to cancel,,
strijd,,verb,1. to walk,,
sufekes,,noun,1. suffix,,
sui,,noun,1. water,,
suiargo,,noun,1. mercury,,
suiko,,noun,1. liquid,,
suikuozon,,noun,1. ice cube,,
suilo,,noun,1. hydrogen,,
suispi,,noun,1. rain,,
Suitera,,noun,1. Neptune,,
suivek,,noun,1. river,,
suki,,verb,1. to like,,
Suomi,,noun,1. Finland,,
Suome,,adjective,1. Finnish,,
Suomira,,noun,1. the Finnish language,,
Suomijen,,noun,1. a Finnish person,,
supa,,adjective,1. above,,
supi,,adjective,1. below,,
,,verb,1. to raise to the power of,,
tajlo,,noun,1. titanium,,
tak,,verb,"1. to take, to receive",,
talaje,,verb,1. to know,,
tan,,noun,1. to,,
tantal,,noun,1. tantalum,,
tart,,adverb,1. around,,
tata,,noun,1. parent,,
tayr,,noun,1. day,,
tei,,adjective,1. second,,
tekara,,noun,1. year,,
Tekas,,noun,1. Texas (that's me),,
ten,,noun,1. ten,,
tenesilo,,noun,1. tennessine,,
tenfor,,noun,1. fourteen,,
tenkan,,noun,1. fifteen,,
tenof,,noun,1. nineteen,,
tenok,,noun,1. eighteen,,
tensek,,noun,1. sixteen,,
tensep,,noun,1. seventeen,,
tente,,noun,1. twelve,,
tentri,,noun,1. thirteen,,
tenun,,noun,1. eleven,,
ter,,adjective,"1. big, large, great",,
,,adverb,1. very,,
tera,,noun,2. world,,
terbi,,adjective,1. greater than,,
terdiff,,adjective,1. completely different (the total opposite of soic),,
teredet,,noun,1. Saturday,,
teresilo,,noun,1. magnesium,,
terestra,,noun,1. the Sun,,
tergrokpi,,noun,"1. college, university",,
terilo,,noun,1. tellurium,,
terli,,noun,1. size,,
terpisk,,noun,1. shark,,
terptilo,,noun,1. terbium,,
tessel,,noun,1. heaven,,
thon,,pronoun,"1. any third-person pronoun such as ""they"", ""he"", and ""she""",,
ti,,noun,1. two,,
tidet,,noun,1. today,,
,,adverb,1. today,,
tier,,adjective,1. second,,
,,,"1. expressing the accusative, absolutive, or oblique cases",,
tii,,noun,1. two,,
tii-dime,,adjective,1. two-dimensional,,
tiikronfem,,noun,1. princess,,
tiikronjen,,noun,1. person in second (behind king or queen),,
tiikronman,,noun,1. prince,,
tiier,,adjective,1. second,,
tiion,,noun,1. seven,,
tiiscusi,,interjection,1. excuse me,,
tir,,determiner,1. your,,
tis,,determiner,1. this,,
tizaia,,noun,1. octopus,,
topik,,noun,1. topic,,
toro,,noun,1. thorium,,
tren,,noun,1. a train,,
tri,,noun,1. three,,
triten,,noun,1. thirty,,
trojlo,,noun,1. palladium,,
trol,,noun,1. an Internet troll,,
,,,2. trollface,,
tu,,pronoun,1. you,,
tuila,,pronoun,"1. you, as of two people",,
twi,,verb,"1. to chirp, as a brid",,
tun,,pronoun,1. you (plural),,
tur,,determiner,1. your,,
turp,,noun,1. east,,
twee,,noun,1. bird,,
tweeflitta,,noun,"1. feather, as of a bird",,
typ,,noun,"1. type, form, kind",,
un,,noun,1. one,,
unito,,noun,"1. unit, section, part of something (as of the numbers, the alphabet, or the list of fruits)",,
upvja,,noun,1. northwest,,
utar,,noun,1. north,,
utisja,,noun,1. northeast,,
vaca,,noun,1. cow (female cow),,
valentin,,noun,"1. valentine, sweetheart",,
Valentindet,,noun,1. Valentine's Day,,
valsi,,noun,1. language,,
vanad,,noun,1. purplish red,,
vek,,noun,1. path,,
,,,2. road,,
vekrosa,,noun,"1. compass, compass rose",,
velo,,noun,1. purple,,
versja,,verb,1. to edit,,
versjon,,noun,"1. version, edition",,
vibakt,,noun,1. grammatical case,,
vidur,,noun,1. beryl,,
vidurilo,,noun,1. beryllium,,
vixarilo,,noun,1. sodium,,
vjera,,noun,1. animal,,
vjeraxera,,noun,1. animal shit,,
vjerilo,,noun,1. gallium,,
VN,,adverb,"1. in the early morning, from 10 VN (12 AM) to 5 VN (5 AM)",,
vodet,,noun,1. tomorrow,,
,,adverb,1. tomorrow,,
voj,,noun,1. the future,,
,,particle,1. used to mark the past tense when used before a verb,,
vojlebic,,adjective,1. survival,,
vokal,,noun,1. vowel,,
vokan,,noun,"1. night, PM",,
vre,,adjective,"1. true, correct, right",,
,,adverb,"1. actually, really",,
,,,2. preferably,,
vreon,,noun,1. truth,,
,,,1. legal or moral right,,
vreau,,verb,1. to speak the truth,,
wa,,verb,1. inanimate copula (pejorative when used for an animate subject),,
,,,2. to be,,
we,,verb,1. copula that emphasizes inanimateness,,
wam,,noun,1. yellow,,
wamwambambam,,noun,1. bomb,,
wamwambanana,,noun,1. banana,,
,,,2. hammer,,
wang,,noun,1. king,,
,,,2. crown,,
watre,,noun,1. water,,
we,,particle,1. yes (but big),,
wi,,particle,1. yes,,
,,interjection,1. OK,,
win,,verb,1. to not know or be sure of,,
wismilo,,noun,1. bismuth,,
wiss,,verb,1. to know,,
wo,,particle,1. yes (but small),,
wolfram,,noun,1. tungsten,,
woord,,noun,"1. word, lexeme",,
woordkitabu,,noun,1. dictionary,,
xande,,verb,1. to have,,
xera,,noun,1. waste,,
,,,"2. trash, garbage, rubbish",,
yong,,verb,1. to use,,
zcy,,preposition,1. across,,
,,adjective,1. wide,,
zcyon,,noun,1. width,,
zedet,,noun,1. Tuesday,,
zekont,,noun,1. second (temporal),,
zi,,noun,"1. letter, character",,
zizi,,verb,1. to sleep,,
,,noun,1. sleep,,
zo,,noun,1. zero,,
zojiba,,noun,1. main seximal system in Hantera,,
zon,,noun,1. shape,,
-zon,,affix,1. used to indicate a shape,,
Zongjen,,noun,1. a Chinese person,,
Zongwa,,noun,1. China,,
Zongwe,,adjective,1. Chinese,,
Zongwejen,,noun,1. a Chinese person,,
Zongwera,,noun,1. the Chinese language,,
zonic,,adjective,"1. shaped, having a shape",,
,,verb,1. to shape,,
zumer,,verb,1. to race against someone or something,,
,,noun,1. race,,
zuo,,adverb,1. left,END,
antiekri,,verb,1. to erase,,
,,noun,1. eraser,,
yongic,,adjective,1. expressing the instrumental case,,
pozic,,noun,1. expressing the locative or lative cases,,
maljenpi,,noun,"1. prison, jail",,
riwejapi,,noun,1. theater,,
pi,,noun,1. place,,
maljen,,noun,1. criminal,,
paga,,noun,1. net,,
pagaji,,noun,1. lacrosse,,
kilpi,,noun,1. shield,,
kilpion,,noun,"1. defense, protection",,
kilpjau,,verb,"1. to defend, protect",,
moji,,noun,"1. knife, blade, sword",,
termoji,,noun,1. sword,,
Jocierliliselmekier,,noun,1. Squidlamb,,
liliselmekier,,noun,"1. lamb, young sheep",,
ogari,,noun,1. ember,,
klasi,,noun,1. hand,,
re'n,,conjunction,1. because,,
flejmuiv,,noun,1. wind,,
soicpensi,,verb,1. to agree,,
soicpension,,noun,1. agreement,,
antisoicpensi,,verb,1. to disagree,,
antisoicpension,,noun,1. disagreement,,
graviosi,,adjective,"1. strong, forceful",,
,,,2. powerful,,
stanau,,verb,1. to travel,,
stanaujen,,noun,1. traveler,,
len,,noun,1. cloth,,
,,,2. shirt,,
-(')au,,affix,1. used to mark the imperfective aspect,,
graviosion,,noun,"1. strength, force",,
,,,2. power,,
lenjo,,verb,"1. to wear, as a cloth",,
mlimal,,verb,1. to apologize,,
